crash_id,crash_date,latitude,longitude,severity,location,total_injured,total_killed,year
NC2019000001,2019-08-21,36.08896289605807,-78.98579782354685,Injury,Durham St #4526,3,0,2019
NC2019000002,2019-08-24,35.98777466758976,-78.93320198610134,Property Damage,Durham St #869,0,0,2019
NC2019000003,2019-02-28,36.06659963168005,-78.72150655184448,Injury,Durham St #6496,2,0,2019
NC2019000004,2019-11-10,35.979583505592636,-78.94806980093068,Injury,Durham St #289,3,0,2019
NC2019000005,2019-12-23,35.877181930359846,-78.83356489673342,Property Damage,Durham St #1628,0,0,2019
NC2019000006,2019-05-09,35.863935123816,-78.8373593018345,Injury,Durham St #8533,1,0,2019
NC2019000007,2019-02-20,35.96562495076198,-79.04441181172292,Injury,Durham St #875,3,0,2019
NC2019000008,2019-04-18,35.86031655633457,-78.73173785927243,Property Damage,Durham St #3173,0,0,2019
NC2019000009,2019-04-22,35.97754676234737,-78.97722041799614,Injury,Durham St #6973,2,0,2019
NC2019000010,2019-04-14,35.98492624001093,-78.91169741739937,Property Damage,Durham St #7729,0,0,2019
NC2019000011,2019-08-21,35.90879485872574,-79.03417044888131,Property Damage,Durham St #8629,0,0,2019
NC2019000012,2019-09-28,36.011907639716725,-78.84463709201765,Property Damage,Durham St #8784,0,0,2019
NC2019000013,2019-01-25,35.89227726749243,-78.76923105673609,Property Damage,Durham St #5563,0,0,2019
NC2019000014,2019-11-19,35.96846445545267,-78.94727913884869,Property Damage,Durham St #5992,0,0,2019
NC2019000015,2019-12-07,36.127890263554,-78.82212304107432,Property Damage,Durham St #3204,0,0,2019
NC2019000016,2019-08-05,35.86906750508581,-78.94115618739951,Property Damage,Durham St #8254,0,0,2019
NC2019000017,2019-03-01,36.01837302775431,-78.91597559383618,Property Damage,Durham St #602,0,0,2019
NC2019000018,2019-09-15,36.081290153986366,-78.87717154127246,Property Damage,Durham St #7821,0,0,2019
NC2019000019,2019-07-17,35.98180095055973,-78.9793982791826,Property Damage,Durham St #6119,0,0,2019
NC2019000020,2019-11-04,36.12226994217783,-78.96274771979789,Property Damage,Durham St #3257,0,0,2019
NC2019000021,2019-09-21,36.11414035170458,-78.83147608315318,Property Damage,Durham St #3727,0,0,2019
NC2019000022,2019-10-23,35.97495298436111,-78.74085190937839,Property Damage,Durham St #7492,0,0,2019
NC2019000023,2019-09-20,35.93163967481539,-78.82330845781053,Property Damage,Durham St #9574,0,0,2019
NC2019000024,2019-09-05,35.852085639159355,-78.87123844409786,Property Damage,Durham St #763,0,0,2019
NC2019000025,2019-08-09,36.132872911173756,-78.93687897379273,Property Damage,Durham St #1953,0,0,2019
NC2019000026,2019-07-02,36.14153462481629,-78.71314344677026,Property Damage,Durham St #1736,0,0,2019
NC2019000027,2019-01-02,35.93545214831324,-79.03708956842591,Property Damage,Durham St #954,0,0,2019
NC2019000028,2019-03-02,35.933593939270985,-78.73210693991167,Property Damage,Durham St #5891,0,0,2019
NC2019000029,2019-07-11,36.0158679267214,-78.84255614664221,Property Damage,Durham St #9058,0,0,2019
NC2019000030,2019-02-06,36.09094192691397,-78.88539477794389,Property Damage,Durham St #6387,0,0,2019
NC2019000031,2019-06-16,36.10059074867677,-78.93772697725989,Injury,Durham St #6646,3,0,2019
NC2019000032,2019-04-07,36.0633448597314,-78.7666746338511,Injury,Durham St #2059,1,0,2019
NC2019000033,2019-01-11,35.966020603890165,-78.72214450394215,Property Damage,Durham St #6716,0,0,2019
NC2019000034,2019-10-03,35.912721486221315,-78.86049320916035,Injury,Durham St #8915,2,0,2019
NC2019000035,2019-02-01,36.01656024347984,-78.8646222975754,Injury,Durham St #3208,1,0,2019
NC2019000036,2019-09-03,36.1147909029568,-78.98395251208052,Property Damage,Durham St #2355,0,0,2019
NC2019000037,2019-08-01,36.11913307798577,-78.73951975150722,Property Damage,Durham St #1748,0,0,2019
NC2019000038,2019-04-03,35.898488614228384,-78.73550603401553,Property Damage,Durham St #5692,0,0,2019
NC2019000039,2019-02-02,36.049050530732416,-79.04822844565382,Property Damage,Durham St #1056,0,0,2019
NC2019000040,2019-01-14,35.91728079283817,-78.80073727252837,Property Damage,Durham St #4087,0,0,2019
NC2019000041,2019-03-17,35.959940635374856,-78.7895403169302,Property Damage,Durham St #4655,0,0,2019
NC2019000042,2019-06-14,36.002644223051625,-78.82728358363494,Property Damage,Durham St #3536,0,0,2019
NC2019000043,2019-11-02,35.996022645887834,-78.73286542429851,Property Damage,Durham St #7122,0,0,2019
NC2019000044,2019-03-04,35.997755308145656,-78.98166495427068,Injury,Durham St #7779,1,0,2019
NC2019000045,2019-05-06,35.903133203822115,-78.72083949547648,Property Damage,Durham St #1160,0,0,2019
