CrashID,CrashDate,CrashYear,CrashMonth,CrashHour,Latitude,Longitude,CrashSevr,CrashType,CrashTypGr,CrashAlcoh,NM_Type,NM_Age,NM_Sex,NM_Race,NM_Inj,NM_AlcDrg,NM_NumTot,NM_NumK,NM_NumA,NM_NumB,NM_NumC,NM_NumU,DrvrAge,DrvrSex,DrvrRace,DrvrVehTyp,SpeedLimit,RdClass,LightCond,Weather,County,City
101878313,2007-01-02,2007,January,16,36.03949,-78.883896,B: Suspected Minor Injury,Bicyclist Ride Out - Parallel Path,Parallel Paths - Other Circumstances,No,Bicyclist,11,Male,Black,B: Suspected Minor Injury,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,35,Male,White,Passenger Car,30 - 35 MPH,Secondary Route,Daylight,Clear,Durham,Durham
101884206,2007-01-10,2007,January,21,35.95346,-78.9058,C: Possible Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,42,Male,Black,C: Possible Injury,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Unknown,Unknown,Passenger Car,Unknown,Local Street,Dark - Roadway Not Lighted,Clear,Durham,Durham
101884207,2007-01-10,2007,January,21,36.01921,-78.9021,B: Suspected Minor Injury,Crossing an Expressway,Crossing Expressway,Yes,Pedestrian,51,Male,White,B: Suspected Minor Injury,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Male,White,Passenger Car,50 - 55 MPH,Interstate,Dark - Lighted Roadway,Clear,Durham,Durham
101885908,2007-01-05,2007,January,17,35.99516,-78.8951,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Walking Along Roadway,No,Pedestrian,32,Male,White,C: Possible Injury,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Male,Black,Passenger Car,30 - 35 MPH,Local Street,Dark - Roadway Not Lighted,Clear,Durham,Durham
101896925,2007-01-29,2007,January,12,35.93221,-78.8177,C: Possible Injury,Walking Along Roadway With Traffic - From Behind,Walking Along Roadway,No,Pedestrian,29,Male,Black,C: Possible Injury,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,31,Female,Black,Passenger Car,40 - 45 MPH,Secondary Route,Dark - Roadway Not Lighted,Clear,Durham,Durham
101902539,2007-01-26,2007,January,1,36.01807,-78.9154,A: Suspected Serious Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,46,Male,Black,A: Suspected Serious Injury,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Unknown,Unknown,Passenger Car,30 - 35 MPH,Local Street,Dark - Lighted Roadway,Cloudy,Durham,Durham
101911774,2007-02-14,2007,February,19,35.98272,-78.8902,C: Possible Injury,Dispute-Related,Unusual Circumstances,No,Pedestrian,27,Male,Hispanic,C: Possible Injury,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,42,Female,Black,Passenger Car,30 - 35 MPH,NC Route,Dark - Lighted Roadway,Clear,Durham,Durham
101912097,2007-02-16,2007,February,12,35.99495,-78.9022,B: Suspected Minor Injury,Motorist Left Turn - Parallel Paths,Crossing Roadway - Vehicle Turning,No,Pedestrian,46,Male,White,B: Suspected Minor Injury,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,61,Female,Black,Passenger Car,20 - 25 MPH,Local Street,Daylight,Clear,Durham,Durham
101913276,2007-01-16,2007,January,0,36.01468,-78.9055,K: Killed,Lying in Roadway,Pedestrian in Roadway - Circumstances Unknown,No,Pedestrian,49,Female,Black,K: Killed,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Unknown,Unknown,Van,30 - 35 MPH,Secondary Route,Dark - Lighted Roadway,Rain,Durham,Durham
101916397,2007-02-22,2007,February,19,35.97729,-78.8927,B: Suspected Minor Injury,Pedestrian Failed to Yield,Crossing Roadway - Vehicle Not Turning,No,Pedestrian,43,Female,Black,B: Suspected Minor Injury,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,Not coded,36,Male,Black,Sport Utility,30 - 35 MPH,NC Route,Dusk,Clear,Durham,Durham
